65,288
65,287
65,286
66,285
67,284
68,282
70,281
73,279
75,277
77,276
82,271
86,270
88,269
90,267
92,265
100,261
103,260
106,258
108,257
111,255
115,254
118,253
123,251
127,249
128,249
131,248
134,246
138,245
142,244
145,242
147,241
152,240
156,239
161,236
164,235
169,234
176,231
181,230
189,227
192,227
199,224
204,223
209,222
214,221
219,219
225,218
234,216
241,215
248,215
253,214
260,214
271,212
275,212
287,211
379,211
390,213
405,215
416,216
427,218
436,219
445,221
456,221
465,222
476,224
485,225
496,225
503,227
511,228
518,230
523,230
527,231
532,232
535,232
